   0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
   0.0   56.8   96.0  115.6  115.6   96.0   56.8    0.0
   0.0  103.2  174.4  210.0  210.0  174.4  103.2    0.0
   0.0  138.0  233.2  280.8  280.8  233.2  138.0    0.0
   0.0  161.2  272.4  328.0  328.0  272.4  161.2    0.0
   0.0  172.8  292.0  351.6  351.6  292.0  172.8    0.0
   0.0  172.8  292.0  351.6  351.6  292.0  172.8    0.0
   0.0  161.2  272.4  328.0  328.0  272.4  161.2    0.0
   0.0  138.0  233.2  280.8  280.8  233.2  138.0    0.0
   0.0  103.2  174.4  210.0  210.0  174.4  103.2    0.0
   0.0   56.8   96.0  115.6  115.6   96.0   56.8    0.0
   0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
